Nome do Evento,Tipo de CTF,Formato,Data,URL,Informações Extras
Hackaflag,Time,Individual,21 de setembro de 2019,https://www.hackaflag.com.br/HFBR19.html,N/A
Pwn2Win,Time,Online,08 de Novembro de 2019,https://pwn2win.party/?lang=br,"Utilize a flag ""CTF-BR{RTFM_1s_4_g00d_3xpr3ss10n_v5.0}"" no challenge que estiver categorizado como ""Bonus"" no dia do evento e garanta seus pontinhos extras. ;)"
Hacker Security CTF,Individual,Online,N/A,https://capturetheflag.com.br/desafios,Desafios Online – Desafios são publicados na URL do campo ao lado
Shellterlabs,Time/Individual,Online,N/A,https://shellterlabs.com/pt/,Desafios Online
Bhack Conference 2019,--,Presencial,30 de Novembro de 2019,https://www.bhack.com.br/,CTF da Bhack Conference
H2HC CTF,Time,Presencial,26 e 27 de Outubro de 2019,https://www.h2hc.com.br/ctf2019/,Times de até 5 Integrantes
Bsides 2020 CTF,Time,Presencial,TBD 2020,http://sp16.securitybsides.com.br/,
JampaSec Conferece CTF,Individual,Presencial,21 de setembro,https://jampasec.com/,CTW (Capture the Wave)
Garoa Hacker Clube CTF,Time/Individual,Presencial,Recorrente,https://garoa.net.br/wiki/Capture_The_Flag,CTF Recorrente – Acontece Todo Sábado
eSecurity CTF,Time,Online,TBD ,https://esecurity.com.br/ctf/,
Campus Party CTF,Time,Presencial,TBD 2020,https://brasil.campus-party.org/,
